NO  Extension         Publisher        Install     Trending  First_Published  Latest_Updated  Latest_Version
1   claude-dev        saoudrizwan      63,921      60.86     2024-07-10       2024-09-26      1.9.7
2   continue          Continue         329,208     17.68     2023-05-27       2024-09-25      0.9.212
3   aide-pro          nicepkg          23,122      11.67     2024-07-02       2024-08-15      1.19.0
4   bloop-write       bloop            490         10.47     2024-03-20       2024-04-29      1.1.1
5   codeium           Codeium          1,593,513   9.58      2022-10-28       2024-09-24      1.21.1
6   cody-ai           sourcegraph      377,714     8.62      2023-03-22       2024-09-25      1.35.1727293771
7   codegeex           aminer           639,532     6.05      2022-09-18       2024-09-20      2.17.0
8   copilot           GitHub           20,442,291  4.75      2021-06-29       2024-09-25      1.234.1124
9   askcodi-vscode     AskCodi          11,404      4.67      2022-08-31       2024-09-17      5.4.0
10  Bito              Bito             654,768     3.77      2023-01-13       2024-09-12      1.4.0
11  codeshell-vscode   WisdomShell      3,914       2.07      2023-10-20       2024-04-25      0.1.1
12  chatgpt           timkmecl         126,488     1.78      2022-12-07       2023-04-11      1.1.2
13  chatgpt-reborn     chris-hayes      10,024      1.77      2023-03-18       2024-07-23      3.25.0
14  tabnine-vscode    TabNine          8,099,783   1.72      2018-10-01       2024-09-24      3.162.0
15  aixcoder           aixcoder-plugin  62,086      1.41      2019-11-14       2024-08-05      5.1.3
